50,36.36,50,51.21,88.89,58.82,11.11,12.5,3.14,5.17,5.56,12.12,11.11,9.9,47.69,71.21,22.22,45.45,75,46.67,1.333,2.286,61.11,45.45,27.27,26.67,100,33.33,1.5,1.5,1
66.67,40,66.67,40,87.50,75,25,16.67,2.33,4.84,16.67,7.50,8.33,12.5,83.33,69.54,25,37.50,66.67,40,1,1.667,66.67,35,62.50,42.86,100,36.36,2.714,2.714,1
47.62,47.62,47.62,52.38,80,72.73,18.18,20,5,5,0,9.52,9.52,0,70.59,97.78,33.33,33.33,57.14,57.14,1.5,1.750,33.33,33.33,42.86,57.14,42.86,28.57,1.750,1.5,1
25,44.44,43.75,50,42.86,77.78,11.11,11.11,4.33,4.38,0,11.11,0,5.56,96.15,32.44,43.75,16.67,28.57,0,1,1,31.25,61.11,40,63.64,0,25,1.333,1.333,-1
38.46,33.33,46.15,33.33,66.67,75,14.29,12.5,8.40,4,7.69,8.33,0,16.67,85.71,78.57,15.38,8.33,50,0,1,1,38.46,66.67,40,37.50,33.33,33.33,1.333,1,-1
20,55.56,53.33,50,25,88.89,14.29,22.22,5.20,5.57,0,5.56,0,0,83.33,77.86,20,33.33,33.33,50,1,2.333,46.67,27.78,28.57,80,0,42.86,2,2.25,-1
37.84,18.75,45.95,31.25,52.94,40,25,9.9,5.36,3.67,2.70,0,5.41,18.75,80.13,51.28,29.71,18.75,36.36,33.33,1.5,1,43.24,50,37.50,25,40,0,2,1,-1
76.47,57.14,70.59,50,100,71.43,20,42.86,6.50,5,23.53,7.14,0,0,67.95,74.7,23.53,35.71,100,80,1,2,52.94,35.71,77.78,40,50,50,1.5,1,-1
50,41.18,42.86,52.94,83.33,77.78,25,0,5.50,1.88,0,0,7.14,35.29,81.48,65.42,42.86,17.65,33.33,66.67,1,1.5,35.71,52.94,60,33.33,66.67,40,30,1.333,-2
33.33,36.36,36.36,50,58.33,63.64,19.5,9.9,5,4.57,3.3,0,9.9,9.9,60.51,66.67,33.33,31.82,54.55,42.86,2,1,48.48,27.27,31.25,16.67,0,44.44,1.200,1.600,-1
47.6,55.56,55.88,66.67,73.68,66.67,13.33,33.33,3.85,3.17,2.94,16.67,8.82,5.56,67.39,73.77,29.41,19.44,80,71.43,1.875,1,29.41,47.22,30,58.82,35.71,41.67,1,1.400,-3
36.84,53.57,47.37,42.86,66.67,66.67,10,43.75,4.67,3.44,15.79,3.57,15.79,10.71,69.23,58.82,31.58,17.86,50,60,1.333,1,42.11,46.43,25,53.85,40,50,30,1.800,1
44.44,44.83,55.56,62.7,80,66.67,0,9.9,3.67,6.10,0,3.45,11.11,0,83.33,68.58,22.22,34.38,50,50,30,1.400,44.44,41.38,25,33.33,66.67,57.14,1,1.667,2
33.33,57.89,50,31.58,44.44,100,22.22,38.46,4.57,4.14,0,5.26,11.11,10.53,71.11,71.82,22.22,47.37,25,66.67,2,2,50,42.11,22.22,62.50,60,0,1,1,1
53.33,56.25,33.33,62.50,80,80,40,16.67,4.83,4.33,13.33,0,0,6.25,74.17,78.33,20,31.25,66.67,20,1,1,80,43.75,50,85.71,0,50,0,30,1
34.62,42.86,42.31,48.57,72.73,76.47,6.67,11.11,5.38,5.38,3.85,5.71,0,2.86,84.44,95.65,23.8,40,33.33,42.86,2,1.667,30.77,31.43,37.50,63.64,33.33,20,1.429,1.714,-2
43.48,57.14,56.52,50,46.15,71.43,40,42.86,4.83,5,4.35,7.14,4.35,0,83.33,74.7,21.74,35.71,40,80,2,2,47.83,35.71,36.36,40,57.14,50,1.667,1,1
31.25,47.37,43.75,52.63,71.43,90,0,0,6,6.14,6.25,0,0,5.26,75,68.33,31.25,36.84,20,57.14,1,1.250,31.25,42.11,40,37.50,33.33,50,2,1,0
47.62,16.67,52.38,25,81.82,66.67,10,0,4.89,4,4.76,0,4.76,8.33,73.33,68.75,28.57,8.33,66.67,0,1.5,0,19.5,58.33,50,14.29,36.36,25,1.571,1,-2
38.89,78.57,50,50,59.26,100,18.52,57.14,5.13,8,1.85,0,5.56,0,77.3,100,22.22,42.86,41.67,83.33,1.600,1.600,44.44,28.57,45.83,50,27.78,100,2.91,0,1
72.73,45,51.52,45,100,88.89,43.75,9.9,4.56,4.80,21.21,0,3.3,5,69.79,70.51,42.42,40,71.43,62.50,1.5,1.600,45.45,30,80,33.33,50,33.33,1.5,1.5,2
61.2,55,54.24,65,90.63,76.92,25.93,14.29,4.30,5,8.47,5,3.39,5,64.7,52.50,42.37,25,68,80,1.235,1.250,33.90,50,70,40,35.71,60,1.667,1,3
55,41.51,45,54.72,100,62.7,18.18,16.67,5.38,4.61,10,9.43,0,9.43,64.44,73.72,30,39.62,83.33,52.38,1.600,2.91,55,47.17,45.45,40,33.33,14.29,2,1.333,0
38.81,53.85,41.79,58.97,64.29,65.22,20.51,37.50,5.10,5.10,2.99,10.26,4.48,2.56,62.41,85.80,29.85,30.77,55,58.33,1.636,1.429,49.25,43.59,42.42,52.94,7.14,50,1.83,2.200,0
52.50,64.52,60,67.74,75,76.19,18.75,40,4.83,4.80,0,16.13,5,0,81.25,72.6,27.50,29.3,72.73,66.67,1.5,1.333,47.50,41.94,57.89,46.15,20,88.89,1.375,1,0
53.85,26.32,53.85,31.58,71.43,50,33.33,15.38,3.33,5.73,0,5.26,7.69,0,78.57,91.94,38.46,15.79,99,66.67,2,1,46.15,52.63,33.33,30,0,0,1,1.833,-2
14.29,65.63,28.57,62.50,50,85,0,33.33,5.50,5,0,6.25,7.14,0,86.67,66.67,28.57,21.88,0,57.14,0,1.250,57.14,56.25,25,72.22,0,57.14,1,2,0
42.50,32.14,37.50,39.29,66.67,54.55,28,17.65,4.50,5,2.50,0,0,0,83.33,75,30,21.43,75,50,1.667,1,40,53.57,18.75,40,41.67,0,1.333,1.714,0
46.67,44.44,40,44.44,66.67,75,33.33,20,5.33,5.25,6.67,11.11,6.67,0,76.92,94.44,33.33,33.33,40,33.33,2.500,1,33.33,44.44,40,75,60,0,1.5,30,0
62.16,34.78,51.35,47.83,84.21,72.73,38.89,0,5,3.18,0,8.70,5.41,4.35,85.53,60.83,27.3,13.4,90,66.67,1.667,1.5,40.54,56.52,53.33,30.77,50,28.57,1.667,1.600,0
37.50,0,37.50,25,83.33,0,10,0,4.69,2.33,0,0,6.25,25,70.8,50,31.25,12.5,70,0,1.429,0,43.75,50,21.43,0,25,0,1.400,1,1
50,54.84,56.25,45.16,66.67,82.14,28.57,32.35,3.78,3.18,0,1.61,6.25,12.90,58.2,58.54,12.5,29.3,100,72.22,2,1.38,68.75,48.39,45.45,43.33,33.33,57.14,1,1,0
41.18,0,52.94,25,72.22,0,6.25,0,5.50,4.22,2.94,0,2.94,8.33,58.40,40.28,14.71,25,80,0,1.250,0,55.88,33.33,36.84,0,30,0,1.571,2,1
41.18,63.1,41.18,56.16,57.14,90.24,30,28.13,4.71,4.13,5.88,6.85,0,2.74,81.82,65.43,29.41,41.10,60,73.33,2,1.364,47.6,39.73,37.50,65.52,25,35.71,1.667,1.667,0
19.5,41.67,42.86,45,33.33,62.96,8.33,24.24,4.22,4.13,0,5,0,8.33,91.18,67.26,42.86,26.67,22.22,50,1,1.375,28.57,36.67,33.33,45.45,0,31.82,1.200,1.533,0
29.63,33.96,48.15,43.40,53.85,69.57,7.14,6.67,5.67,4.46,7.41,3.77,3.70,11.32,73.21,78.76,22.22,26.42,16.67,35.71,1,2.400,37.4,45.28,40,37.50,27.27,26.67,1.571,2,0
31.43,37.50,37.14,43.75,76.92,71.43,4.55,11.11,5.35,3.50,2.86,0,2.86,25,88.33,88.89,22.86,31.25,37.50,60,1.667,2.333,37.14,31.25,30.77,20,28.57,33.33,1.444,1.5,-2
23.68,15.79,28.95,26.32,63.64,40,7.41,7.14,4.29,5.46,2.63,0,5.25,5.26,67.68,80.56,23.68,31.58,55.56,16.67,2.400,1,47.37,31.58,22.22,16.67,0,14.29,1.99,1.833,0
36.49,43.24,43.24,51.35,56.25,68.42,21.43,16.67,5.10,5.7,2.70,2.70,4.5,5.41,65.48,70,31.8,29.73,52.17,45.45,1.583,1.600,47.30,45.95,40,58.82,6.25,11.11,1.71,1.571,0
45.28,72.73,54.72,66.67,72.41,95.45,12.5,27.27,4.84,4.63,3.77,27.27,5.66,3.3,72.85,53.57,22.64,21.21,75,85.71,1.444,1.333,57.17,45.45,52,80,12.5,54.55,1.462,1.200,-2
40.91,58.33,45.45,33.33,70,100,16.67,37.50,5.22,4.80,0,0,4.55,0,71.43,70.83,22.73,12.5,100,66.67,2,2,50,45.83,36.36,63.64,0,50,1.5,1.600,2
40.91,69.77,47.73,55.81,66.67,95.83,17.39,36.84,4.32,4,2.27,6.98,6.82,2.33,69.35,83.85,27.27,32.56,75,71.43,1.889,1.700,29.55,44.19,30.77,73.68,26.32,60,1.214,1.260,0
51.72,47.37,55.17,44.74,68.75,82.35,30.77,19.5,3.50,3.73,6.90,7.89,3.45,7.89,84.62,60.32,13.79,21.5,50,87.50,2.500,1.286,48.28,55.26,50,28.57,54.55,55.56,2.400,1.750,1
72.73,42.50,66.67,37.50,95.45,66.67,27.27,28,4.63,4.50,27.27,2.50,3.3,0,53.57,83.33,21.21,30,85.71,75,1.333,1.667,45.45,40,80,18.75,54.55,41.67,1.200,1.333,1
58.33,46.67,33.33,40,100,66.67,37.50,33.33,4.80,5.33,0,6.67,0,6.67,70.83,76.92,12.5,33.33,66.67,40,2,2.500,45.83,33.33,63.64,40,50,60,1.600,1.5,-2
62.50,38.89,37.50,50,100,77.78,40,0,3.67,5.25,0,0,12.5,5.56,100,75,18.75,38.89,66.67,57.14,1.5,2.25,37.50,27.78,66.67,0,57.14,50,2.667,2.333,-2
25,66.67,16.67,50,50,100,20,33.33,4.71,5.75,0,0,8.33,0,100,70,8.33,16.67,100,50,40,1,33.33,58.33,25,57.14,14.29,100,2.400,0,2
56.52,63.16,52.17,52.63,83.33,90,27.27,33.33,4.38,2.17,8.70,15.79,4.35,15.79,34.91,69.5,21.74,26.32,40,60,1,30,52.17,42.11,66.67,75,50,50,1.333,1.333,0
35.48,38.10,48.39,54.76,66.67,52.17,6.25,21.5,4.54,4.73,12.90,4.76,6.45,2.38,58.77,71.87,38.71,26.19,41.67,54.55,1.200,1,35.48,42.86,54.55,50,0,7.69,1.143,1.5,0
53.33,60.87,60,52.17,66.67,83.33,33.33,36.36,4,6.14,6.67,13.4,6.67,0,57.58,74.79,33.33,34.78,40,62.50,1.5,1.400,33.33,43.48,60,70,60,40,2.500,2.500,-2
60,66.67,52,50,84.62,77.78,33.33,55.56,5.63,6.25,4,11.11,0,0,75.25,76.28,40,27.78,60,40,2,1,32,50,75,77.78,42.86,75,2.25,2,0
54.55,45.59,45.45,55.88,80,65.79,33.33,20,5.8,4.36,12.12,8.82,9.9,8.82,69.87,73.17,36.36,39.71,75,55.56,1.333,1.933,33.33,47.6,45.45,43.75,40,22.22,2.333,1.286,0
50,41.67,56.25,45.83,66.67,81.82,28.57,7.69,3.78,3.80,0,4.17,6.25,12.5,58.2,66.67,12.5,25,100,16.67,2,1,68.75,45.83,45.45,63.64,33.33,28.57,1,2,2
64.71,42.86,64.71,50,81.82,66.67,33.33,19.5,3.67,4.82,0,0,5.88,4.76,86.36,79.6,35.29,35.71,66.67,40,2.25,1.833,47.6,28.57,62.50,50,66.67,40,1,1.778,-2
41.18,41.38,47.6,63.79,68.75,59.46,16.67,9.52,5.17,4.89,0,8.62,5.88,1.72,70.37,63.89,26.47,29.31,44.44,52.94,1.250,1.667,44.12,37.93,26.67,45.45,60,26.32,1,1.692,2
51.35,39.19,43.24,56.76,93.75,59.52,19.5,12.5,4.81,5.11,5.41,8.11,5.41,1.35,62.4,65.50,16.22,27.3,66.67,50,1.250,1.600,54.5,40.54,40,43.33,63.64,25,2.25,1.647,1
67.65,36.36,63.24,48.48,90.70,68.75,28,5.88,4.22,3.86,16.18,6.6,4.41,9.9,59.42,72.55,27.94,21.21,84.21,14.29,1.563,1,42.65,48.48,68.97,56.25,50,20,1.600,1.875,1
53.19,46.30,48.94,50,78.26,74.7,29.17,18.52,5.69,4.73,4.26,0,0,5.56,76.67,81.17,17.2,33.33,75,50,1.667,1.667,38.30,37.4,55.56,45,42.86,43.75,2.83,1.778,0
52.63,52.27,47.37,54.55,77.78,70.83,30,30,5.25,4.15,7.2,9.9,3.51,2.27,63.38,80.83,28.7,36.36,56.25,56.25,1.889,1.556,49.12,43.18,67.86,52.63,15.38,44.44,1.667,1.250,1
24.53,63.64,32.8,56.82,58.82,88,8.33,31.58,4.30,4.4,3.77,6.82,3.77,3.41,71.62,67.17,26.42,37.50,42.86,75.76,2.333,1.400,41.51,43.18,22.73,63.16,11.76,41.18,1.769,1.700,0
22.50,60.61,40,63.64,50,76.19,4.17,33.33,5.15,6.63,5,3.3,7.50,3.3,65.53,84.21,20,30.30,12.5,70,1,2.286,47.50,48.48,26.32,68.75,23.8,28.57,1.556,1.400,0
45.83,61.76,54.17,50,76.92,88.24,9.9,35.29,5.70,4.11,12.5,5.88,0,2.94,73.96,68.33,12.5,32.35,100,81.82,1.333,1.444,54.17,47.6,38.46,68.75,37.50,14.29,1.400,1.600,0
20,55.88,37.14,58.82,46.15,75,4.55,28.57,3.42,3.33,2.86,2.94,8.57,5.88,74.4,70.27,28.57,29.41,20,70,1,1.429,34.29,32.35,33.33,45.45,7.69,53.85,1.364,1.250,1
46.15,47.50,51.28,42.50,85,88.24,5.26,17.39,4.88,4.17,0,10,7.69,10,74.24,68.22,28.21,30,45.45,58.33,2,2,48.72,40,47.37,50,44.44,33.33,1.800,1.625,-2
41.77,37.78,36.71,46.67,65.52,71.43,28,8.33,4.23,4.39,5.6,13.33,5.6,4.44,75.44,66.67,32.91,33.33,73.8,46.67,1.632,1.143,36.71,46.67,24.14,47.62,29.17,0,1.400,1.125,-2
55.56,44.44,48.89,40,90.91,90,21.74,13.33,4.88,4,2.22,0,4.44,6,71.9,68,28.89,28,76.92,78.57,1.5,1.636,35.56,48,43.75,25,50,41.67,1.571,1.333,1
44,57.14,53.33,53.57,70,80,14.29,30.77,5.4,4.53,5.33,3.57,4,7.14,64.97,76.86,26.67,26.79,65,86.67,1.38,1.538,42.67,41.7,34.38,43.48,39.13,50,1.538,1.667,1
45.45,60,40.91,68,77.78,76.47,23.8,25,6,4.40,0,4,4.55,4,79.78,75.46,18.18,52,25,76.92,1,1.900,50,36,54.55,55.56,42.86,0,1.250,2.500,1
37.50,70.97,40.63,61.29,53.85,94.74,26.32,33.33,5,3.69,6.25,6.45,3.13,1.61,67.39,71.39,25,29.3,50,77.78,2,1.643,53.13,46.77,41.18,68.97,14.29,66.67,1.667,1.200,0
40.91,100,45.45,87.50,70,100,16.67,100,5.70,0,9.9,18.75,4.55,0,66.67,48.33,36.36,37.50,25,100,1,1.333,36.36,43.75,50,100,50,100,2,0,1
45.10,52.63,56.86,47.37,75.86,77.78,4.55,30,4.65,5.25,9.80,7.2,3.92,3.51,66.39,63.38,15.69,28.7,62.50,56.25,1.200,1.889,54.90,49.12,57.14,67.86,13.33,15.38,1.385,1.667,0
46.88,50,31.25,40.91,90,77.78,27.27,30.77,4.94,4.38,3.13,4.55,3.13,4.55,88.49,96.67,28.13,22.73,44.44,100,2.25,1.800,43.75,36.36,50,37.50,44.44,33.33,1.600,2.400,2
51.72,15.38,50,42.31,82.76,36.36,20.69,0,4.20,3.86,6.90,0,5.17,3.85,62.5,60.19,18.97,26.92,36.36,42.86,1.250,1.333,55.17,34.62,59.38,11.11,46.67,0,1,1.875,1
44.44,67.65,50,58.82,83.33,80,5.56,50,4.73,3.80,0,14.71,8.33,11.76,57.28,65.22,33.33,26.47,50,77.78,1.167,1.286,44.44,47.6,43.75,75,37.50,44.44,1.200,1.800,0
51.43,30.77,45.71,46.15,81.25,66.67,26.32,0,2,3.71,0,3.85,25.71,7.69,69.51,56.94,25.71,19.23,77.78,20,1.429,1,48.57,53.85,47.6,50,33.33,0,1.200,1.571,1
51.6,32.35,61.70,41.18,79.31,57.14,5.56,15,4.88,5.13,2.13,0,6.38,5.88,74.50,79.17,34.4,35.29,68.75,25,1.818,1,29.79,29.41,50,40,35.29,33.33,1.99,1.857,1
22.22,50,50,50,33.33,75,11.11,25,4.50,3.56,5.56,0,5.56,16.67,75,92.16,16.67,41.67,66.67,80,1,1.5,50,33.33,22.22,25,0,33.33,1.5,1.5,2
62.7,75,63.79,68.75,72.97,81.92,42.86,60,4.73,3.50,13.79,18.75,3.45,0,83.33,71.85,31.3,31.25,66.67,80,1.5,1,44.83,50,65.38,75,50,66.67,2,1,3
53.85,39.29,47.44,55.36,78.38,54.84,31.71,20,3.63,4.55,3.85,3.57,10.26,5.36,56.76,68.38,26.92,21.43,71.43,58.33,1.333,1,48.72,50,44.74,46.43,52.63,12.5,1.143,1.429,1
60,58.82,52,44.12,88.36,80,29.17,42.11,3.27,6,8,8.82,10,0,63.14,68.70,26,29.41,84.62,60,1.364,1.333,48,44.12,62.50,73.33,30.77,33.33,1.625,2,0
46.46,49.18,50.21,42.62,70,76.92,22.45,28.57,5.25,3.74,4.4,3.28,4.4,11.48,78.94,74.15,27.27,27.87,66.67,76.47,1.5,2,48.48,42.62,45.83,38.46,25,38.89,2,1.556,1
22.73,43.90,50,41.46,27.27,70.59,18.18,25,5.63,3.75,0,0,0,4.88,88.89,47.67,13.64,24.39,33.33,80,1,1.625,45.45,43.90,30,22.22,11.11,46.15,1.875,1.333,0
45.71,21.88,42.86,25,80,62.50,20,8.33,4.27,3.23,11.43,0,5.71,31.25,71.38,52.63,25.71,18.75,66.67,33.33,1.333,1,57.14,53.13,45,29.41,16.67,0,1.600,1.444,0
45,73.91,50,65.22,80,93.33,10,37.50,5.17,3.50,17.50,4.35,5,0,65.12,82.81,22.50,39.13,66.67,77.78,1.5,1.429,52.50,39.13,42.86,77.78,30,60,1.286,1,1
25.49,42.86,29.41,45.24,73.33,78.95,5.56,13.4,3.91,3.11,3.92,9.52,19.61,7.14,72.85,69.11,13.73,21.43,42.86,55.56,1.667,1.600,56.86,50,27.59,47.62,13.33,25,1.455,1.444,1
53.33,45.45,73.33,45.45,63.64,60,25,33.33,6,6,0,4.55,0,0,83.33,83.33,33.33,18.18,60,75,1,1,40,45.45,33.33,60,75,12.5,30,1.857,-2
44.12,50,58.82,54.55,65,83.33,14.29,10,6.33,5.56,14.71,6.82,0,2.27,81.82,91.38,23.53,36.36,62.50,50,1.400,1.625,35.29,36.36,50,68.75,28.57,25,1.600,1.625,2
35.85,33.33,45.28,41.27,54.17,61.54,20.69,13.51,4.91,4.53,5.66,1.59,3.77,6.35,69.82,69.5,30.19,26.98,25,58.82,2,1.800,50.94,36.51,44.44,26.9,30,21.74,1.714,1.278,2
51.79,44.44,64.29,41.67,75,86.67,10,14.29,5.39,6,7.14,0,5.36,5.36,58.84,82.81,28.57,30.56,68.75,63.64,2,1.714,46.43,44.44,50,37.50,35.71,33.33,1.714,2.600,1
47.50,44.12,55,58.82,72.73,65,16.67,14.29,5.80,6.33,10,14.71,2.50,0,65.43,81.82,40,23.53,50,62.50,1.5,1.400,37.50,35.29,53.33,50,33.33,28.57,2,1.600,1
50,21.43,46.15,35.71,79.17,40,25,11.11,4.43,4.13,9.62,7.14,9.62,7.14,65.83,81.48,36.54,14.29,68.42,50,1.231,1,34.62,64.29,44.44,22.22,33.33,0,2,1.667,3
41.7,41.7,48.21,46.43,74.7,65.38,10.34,20,4.71,4.36,0,1.79,7.14,3.57,71.78,74.74,30.36,39.29,47.6,59.9,1.625,1.538,44.64,33.93,44,47.37,28.57,6.67,1.556,1.167,1
60,45.45,63.33,50,73.68,78.79,36.36,12.12,5,4.56,10,6.6,3.33,9.9,78.43,70.63,30,24.24,77.78,43.75,1.286,2.143,50,50,60,51.52,33.33,35.29,2.500,2,2
53.97,47.22,50.79,52.78,87.50,73.68,19.35,17.65,4.39,4.21,3.17,0,7.94,11.11,75.12,92.67,31.75,41.67,75,66.67,1.533,1.400,33.33,38.89,47.62,35.71,40.91,28.57,1.5,2,2
42,48.65,48,50,70.83,72.97,15.38,24.32,4.16,4.19,6,8.11,6,8.11,63.83,67.79,22,31.8,81.82,60.87,1.222,1.429,54,37.84,25.93,50,41.67,34.78,2,1.533,0
50.77,43.75,56.92,50,81.8,75,10.71,12.5,5,5.56,3.8,2.8,6.15,2.8,76.36,65.49,30.77,20.83,70,70,1.929,1.429,33.85,50,59.9,45.83,26.9,21.43,1.647,1.5,1
42.42,43.18,48.48,36.36,81.25,75,5.88,25,5.60,3.76,9.9,6.82,0,15.91,66.67,63.61,27.27,27.27,44.44,58.33,1.250,1.429,39.39,45.45,38.46,30,45.45,50,1.600,1,1
36.67,45.59,46.67,41.18,57.14,89.29,18.75,15,4.8,4.38,3.33,4.41,3.33,5.88,72.96,70.85,13.33,29.41,75,80,2,1.563,50,42.65,33.33,27.59,27.27,36.84,1.375,1.455,2
52.94,46.67,58.82,43.33,80,84.62,14.29,17.65,4.82,4.14,2.94,10,8.82,6.67,67.42,37.65,17.65,20,83.33,33.33,1.800,1,58.82,56.67,55,52.94,25,42.86,1.5,1.250,1
55.88,23.8,60.29,48.72,73.17,36.84,29.63,10,3.38,3.94,11.76,2.56,5.88,2.56,71.89,70.83,23.53,23.8,75,44.44,1.250,1.5,50,43.59,50,29.41,50,0,1.5,1.636,1
62.50,64.58,65,60.42,80.77,80.76,28.57,36.84,4.10,3.40,7.50,10.42,7.50,10.42,78.33,61.19,32.50,27.8,84.62,76.92,1.273,1.300,47.50,50,63.16,70.83,25,36.36,1.750,1.571,1
38.46,63.41,41.3,53.66,62.50,86.36,21.74,36.84,4.65,4.33,2.56,9.76,10.26,2.44,78.33,79.32,28.21,36.59,45.45,80,2,1.250,41.3,31.71,37.50,76.92,33.33,30.77,1.5,1.667,2
40.85,44,47.89,38,67.65,84.21,16.22,19.35,4.54,4.48,5.63,6,5.63,8,61.46,57.43,18.31,26,84.62,69.23,1.273,1.333,54.93,50,33.33,36,26.32,33.33,1.571,1.5,1
50.88,38.36,47.37,42.47,81.48,61.29,23.23,21.43,4.29,4.74,8.77,1.37,7.2,2.74,69.37,75.29,29.82,36.99,64.71,51.85,1.727,1.5,38.60,34.25,50,44,38.89,14.29,1.455,1.200,1
43.33,33.33,50,54.76,76.67,56.52,10,5.26,4.30,4.78,13.33,11.90,5,4.76,65.32,68.21,30,11.90,50,40,1.333,1.5,48.33,59.52,55.17,44,7.69,8.33,1.100,1.727,1
46.15,37.50,65.38,56.25,52.94,55.56,33.33,14.29,3.67,5.89,3.85,2.8,3.85,0,66.67,74.78,34.62,27.8,44.44,53.85,1.5,1.429,38.46,39.58,40,31.58,57.14,31.25,2,1.700,1
51.28,51.72,55.13,55.17,69.77,68.75,28.57,30.77,4.74,4.25,3.85,17.24,6.41,0,73.88,68.54,24.36,24.14,78.95,57.14,1.533,1,41.3,51.72,43.75,60,40.74,28.57,1.667,1.400,0
52.50,36.49,55,43.24,86.36,59.38,11.11,19.5,5.60,4.97,10,8.11,0,9.46,67.78,71.47,27.50,31.8,54.55,43.48,1.333,2.100,42.50,40.53,52.94,40,50,23.81,1.600,2.67,1
60,47.13,65,55.17,84.62,70.83,14.29,17.95,4.82,4.24,5,9.20,7.50,8.5,65.38,68.49,17.50,36.78,85.71,59.38,1.667,1.842,57.50,44.83,60.87,46.15,40,25,1.5,1.182,2
